Sim instant [s],Timestamp,X Position of 1st satellite,X Position of 2nd satellite,X Position of 3rd satellite,X Position of 4th satellite,Y Position of 1st satellite,Y Position of 2nd satellite,Y Position of 3rd satellite,Y Position of 4th satellite,Z Position of 1st satellite,Z Position of 2nd satellite,Z Position of 3rd satellite,Z Position of 4th satellite,Distance between the 1st satellite and the receiver,Distance between the 2nd satellite and the receiver,Distance between the 3rd satellite and the receiver,Distance between the 4th satellite and the receiver,Pseudorange 1st satellite,Pseudorange 2nd satellite,Pseudorange 3rd satellite,Pseudorange 4th satellite,X position of receiver,Y position of receiver,Z position of receiver,View 1st satellite,View 2nd satellite,View 3rd satellite,View 4th satellite,Eccentricity1,Eccentricity2,Eccentricity3,Eccentricity4,Satellite Antenna Cone Angle,Masking Angle,Axis
2456,2022-01-14 20:35:00,-1180841.7945712134,2478045.5559180444,-319598.0268990752,-4691596.386612304,4851457.900116243,332832.71067205834,1080621.8122818684,-2130032.286482063,-262619.30544711626,66736.07969773209,3076356.933482985,3974334.4498480046,5239570.129351567,3189560.984158979,222066.3640472506,6299713.909646014,5239570.129351567,3189560.984158979,222066.3640472506,6299713.909646014,-476921.33584031154,1132254.019388005,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2457,2022-01-14 20:40:00,-1458757.5850183377,2385572.791038929,-796798.0071599054,-4875579.486624817,4778817.167592584,771737.4719940424,1077816.1787733366,-2011111.7443764736,-186903.14837864653,323826.76477305696,3296435.0876352554,3914746.2242610273,5183289.209642484,2921894.5248502623,356932.6055375762,6301929.347588256,5183289.209642484,2921894.5248502623,356932.6055375762,6301929.347588256,-477825.2884797364,1131872.8368015802,1228598.0323116265,0,0,1,0,0,0.5,0.6,0.4,45,10,500000
2458,2022-01-14 20:45:00,-1731524.1479671807,2223843.246671631,-1267622.1532070425,-5050351.665488616,4689307.822338924,1196438.2214501696,1057394.4966425337,-1889339.5045475329,-110527.24712716052,576232.9248792881,3465806.9710119097,3848770.784214733,5118991.025014553,2703543.750116109,810650.0107145875,6304497.235302273,5118991.025014553,2703543.750116109,810650.0107145875,6304497.235302273,-478728.9364567362,1131490.9325306157,1228598.0323116265,0,0,1,0,0,0.5,0.6,0.4,45,10,500000
2459,2022-01-14 20:50:00,-1998178.6523750976,1997799.099696964,-1726102.5153272008,-5215983.683027038,4583245.820883381,1597035.8710225988,1022770.5859757684,-1765031.6961817,-33761.19884503582,818012.3797690684,3590862.2074813764,3776770.301832062,5047464.540626376,2547646.2025168086,1267986.6123053788,6307334.658068974,5047464.540626376,2547646.2025168086,1267986.6123053788,6307334.658068974,-479632.27919514285,1131108.3068186142,1228598.0323116265,0,0,1,0,0,0.5,0.6,0.4,45,10,500000
2460,2022-01-14 20:55:00,-2257779.8419835176,1715484.8245928132,-2168400.41370749,-5372552.034878852,4461005.548511099,1965324.254556796,976798.7309803222,-1638477.736853049,43124.02214628554,1044040.53302516,3677492.3267914094,3699080.610997869,4969690.659821258,2462077.571398025,1713471.552072214,6310343.462800933,4969690.659821258,2462077.571398025,1713471.552072214,6310343.462800933,-480535.31611898326,1130724.959909539,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2461,2022-01-14 21:00:00,-2509411.3578320155,1386913.4921212674,-2592158.717319964,-5520135.9612507215,4323018.497732113,2295503.881073814,921832.9419146904,-1509942.869801351,119857.02086095676,1250477.936777297,3730942.0876227855,3616012.8187488015,4886850.116538021,2446759.153156925,2143063.7264295137,6313412.808474257,4886850.116538021,2446759.153156925,2143063.7264295137,6313412.808474257,-481438.04665247904,1130340.892047813,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2462,2022-01-14 21:05:00,-2752184.9728881167,1022772.8511027992,-2996043.7528374167,-5658814.853397984,4169771.745168048,2584356.1543739093,859803.8483475579,-1379670.5563091324,196166.9396382773,1434935.6038559636,3755798.977817549,3527854.9072239846,4800330.823073721,2493737.2964300863,2554935.5342394253,6316421.300198321,4800330.823073721,2493737.2964300863,2554935.5342394253,6316421.300198321,-482340.47022004746,1129956.103478318,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2463,2022-01-14 21:10:00,-2985243.7273749923,633341.6559488364,-3379427.4499177136,-5788666.003848277,4001806.2322340016,2830958.006912871,792292.4728928774,-1247884.7323913637,271784.4142355551,1596365.4082703756,3756041.179988543,3434873.3163324,4711733.331726568,2590180.8789005363,2948220.791768788,6319238.748062905,4711733.331726568,2590180.8789005363,2948220.791768788,6319238.748062905,-483242.5862463011,1129570.5944463967,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2464,2022-01-14 21:15:00,-3207764.953729749,227797.6337914356,-3742167.46604186,-5909762.653963983,3819714.855684614,3036150.715489402,720594.047339976,-1114791.939854772,346442.52464939427,1734789.3954832864,3735105.339969104,3337314.500949677,4622872.447422491,2722247.015751038,3322608.678965149,6321727.589864097,4622872.447422491,2722247.015751038,3322608.678965149,6321727.589864097,-484144.394156049,1129184.3651978504,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2465,2022-01-14 21:20:00,-3418963.1805145936,-186092.8197711653,-4084454.399295977,-6022172.299016355,3624140.374764435,3201967.3396325675,645770.8192364553,-980583.342235565,419877.73730913096,1850986.086044457,3695956.5536083295,3235406.459331645,4535772.287518998,2877775.6854270417,3678144.0762921376,6323744.01449255,4535772.287518998,2877775.6854270417,3678144.0762921376,6323744.01449255,-485045.8933742964,1128797.4159789393,1228598.0323116265,0,1,0,0,0,0.5,0.6,0.4,45,10,500000
2466,2022-01-14 21:25:00,-3618092.905030436,-602010.8914477357,-4406704.793172586,-6125955.216652011,3415773.1423500893,3331141.2144299545,568694.906546904,-845436.6363089156,491830.8353165957,1946209.6077469,3641153.2733943495,3129360.2317058463,4452651.312713789,3047324.163536555,4015108.199958967,6325138.820268376,4452651.312713789,3047324.163536555,4015108.199958967,6325138.820268376,-485947.0833262457,1128409.7470363833,1228598.0323116265,0,1,0,0,0,0.5,0.6,0.4,45,10,500000
2467,2022-01-14 21:30:00,-3804451.224845965,-1014966.420661188,-4709485.560998402,-6221163.189610672,3195348.668093014,3426737.8916633725,490082.8228701729,-709517.8698543898,562047.8334485743,2021972.02090016,3572904.667928512,3019371.3698043698,4375893.242294625,3224100.7498883363,4333940.305346193,6325758.039913096,4375893.242294625,3224100.7498883363,4333940.305346193,6325758.039913096,-486847.9634372959,1128021.358617361,1228598.0323116265,0,1,0,0,0,0.5,0.6,0.4,45,10,500000
2468,2022-01-14 21:35:00,-3977380.318953233,-1421113.0657290586,-4993460.168435374,-6307838.397905406,2963645.022164565,3491904.899255222,410523.26558777736,-572983.1762292073,630280.8746921251,2079890.09093049,3493120.1333185453,2905621.3795447475,4307999.646424741,3403455.9612391274,4635183.810957695,6325443.361237194,4307999.646424741,3403455.9612391274,4635183.810957695,6325443.361237194,-487748.5331330443,1127632.2509695098,1228598.0323116265,0,1,0,0,0,0.5,0.6,0.4,45,10,500000
2469,2022-01-14 21:40:00,-4136269.7697915887,-1817551.3985280795,-5259350.048675718,-6386012.459504782,2721480.088767929,3529714.787571244,330499.53625082725,-435980.436088976,696289.1051481011,2121585.1077908613,3403451.548254265,2788279.140233086,4251520.829534367,3582316.836278764,4919448.202830224,6324032.37005746,4251520.829534367,3582316.836278764,4919448.202830224,6324032.37005746,-488648.7918392855,1127242.4243409252,1228598.0323116265,0,1,0,0,0,0.5,0.6,0.4,45,10,500000
2470,2022-01-14 21:45:00,-4280558.717943506,-2202146.8724930147,-5507906.802869163,-6455705.601947502,2469708.67911161,3543074.737867296,250407.70682597757,-298650.87633531285,759839.5242145736,2148621.737223359,3305329.164070772,2667502.30462096,4208963.849196756,3758713.568666002,5187381.6475325925,6321358.639397506,4208963.849196756,3758713.568666002,5187381.6475325925,6321358.639397506,-489548.7389820126,1126851.878980162,1228598.0323116265,0,1,0,0,0,0.5,0.6,0.4,45,10,500000
2471,2022-01-14 21:50:00,-4409737.841896521,-2573373.107143887,-5739892.120370929,-6516925.950350015,2209219.5140353143,3534680.5549211525,170571.4144946402,-161130.6160835112,820707.8070491254,2162473.673643358,3199992.0556468363,2543438.6849458106,4182680.3914268105,3931426.626996586,5439651.104101937,6317251.686713564,4182680.3914268105,3931426.626996586,5439651.104101937,6317251.686713564,-490448.3739874176,1126460.615136232,1228598.0323116265,0,1,0,0,0,0.5,0.6,0.4,45,10,500000
2472,2022-01-14 21:55:00,-4523351.155882953,-2930182.20423542,-5956063.280350716,-6569668.92000006,1940932.0869391724,3506998.784835371,91253.97682714532,-23552.16915497703,878679.0964068215,2164506.8295227904,3088513.9847788224,2416227.630772129,4174742.40547692,4099738.0567452624,5676927.803668284,6311536.818764333,4174742.40547692,4099738.0567452624,5676927.803668284,6311536.818764333,-491347.69628189097,1126068.6330586064,1228598.0323116265,0,1,0,0,0,0.5,0.6,0.4,45,10,500000
2473,2022-01-14 22:00:00,-4620997.619451284,-3271899.845249162,-6157162.724689407,-6613916.70423108,1665793.4180897688,3462265.8435270544,12668.367643135369,113954.08769593282,933548.7610587744,2155973.555507804,2971825.4175228216,2286001.4050473524,4186818.698513149,4263261.178877427,5899876.634030694,6304034.8818386765,4186818.698513149,4263261.178877427,5899876.634030694,6304034.8818386765,-492246.7052920232,1125675.932997214,1228598.0323116265,0,1,0,0,0,0.5,0.6,0.4,45,10,500000
2474,2022-01-14 22:05:00,-4702332.553087605,-3598141.527179401,-6343910.623134511,-6649637.850587993,1384774.7117598562,3402496.889301912,-65014.52410923375,251258.47188669085,985123.1181141807,2138013.5285445284,2850732.3234271514,2152886.565335837,4220069.174936894,4421825.696821055,6109148.400469702,6294561.933394426,4220069.174936894,4421825.696821055,6109148.400469702,6294561.933394426,-493145.400444604,1125282.5152024406,1228598.0323116265,0,1,0,0,0,0.5,0.6,0.4,45,10,500000
2475,2022-01-14 22:10:00,-4767068.854890168,-3908746.146338437,-6516999.650959763,-6676786.920482361,1098867.9280016243,3329499.8389224764,-141659.02122005925,388230.56878214725,1033220.116696128,2111658.471244135,2725932.280874098,2017005.3576998385,4275073.127392407,4575400.783414838,6305374.225339572,6282928.849766864,4275073.127392407,4575400.783414838,6305374.225339572,6282928.849766864,-494043.7811666237,1124888.3799251306,1228598.0323116265,0,1,0,0,0,0.5,0.6,0.4,45,10,500000
2476,2022-01-14 22:15:00,-4814978.014002332,-4203723.5166866295,-6677091.409694146,-6695304.229632978,809082.281154721,3244891.693471844,-217158.90977777017,524737.8137358062,1077669.9805578794,2077838.900911168,2598028.323196549,1878477.13118776,4351803.098134917,4724043.816996189,6489161.549442824,6268940.883496921,4351803.098134917,4724043.816996189,6489161.549442824,6268940.883496921,-494941.8468852725,1124493.5274165857,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2477,2022-01-14 22:20:00,-4845890.917226642,-4483212.9497134695,-6824814.071027586,-6705115.668643335,516440.6774488576,3150115.478774744,-291432.6085030455,660644.0742410608,1118315.8073712874,2037391.788647059,2467540.8851107545,1737419.7813728354,4449647.396925692,4867866.323713549,6661091.338966666,6252397.183027366,4449647.396925692,4867866.323713549,6661091.338966666,6252397.183027366,-495839.597027942,1124097.9579285642,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2478,2022-01-14 22:25:00,-4859698.445972749,-4747450.563281071,-6960760.931530503,-6706132.605120184,221976.10427578285,3046456.824272967,-364419.09083045134,795808.2242800712,1155014.1225719235,1991068.449745552,2334918.146955905,1593951.2318734336,4567475.124543116,5007011.433733145,6821716.202311546,6233090.287043254,4567475.124543116,5007011.433733145,6821716.202311546,6233090.287043254,-496737.0310222247,1123701.671713282,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2479,2022-01-14 22:30:00,-4856351.861432072,-4996743.462845448,-7085489.643981926,-6698251.870829793,-73272.0161239435,2935059.651164424,-436074.42728609615,930082.703209035,1187635.3858059188,1939542.2675920648,2200545.0233819736,1448190.963280582,4703730.592759194,5141639.037913578,6971559.194024718,6210805.605618616,4703730.592759194,5141639.037913578,6971559.194024718,6210805.605618616,-497634.1482959148,1123304.669023413,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2480,2022-01-14 22:35:00,-4835862.97661955,-5231449.333107052,-7199521.94846945,-6681355.839560661,-368261.49568837695,2816940.713823036,-506368.84116613376,1063312.0517774343,1216064.4481908288,1883416.0302732612,2064751.0016188023,1300261.5994334507,4856541.239400875,5271916.094169726,7111113.136546947,6185320.900611817,4856541.239400875,5271916.094169726,7111113.136546947,6185320.900611817,-498530.9482770084,1122906.9501120858,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2481,2022-01-14 22:40:00,-4798304.114675208,-5451960.294838309,-7303343.768948484,-6655312.603658185,-661951.0593246035,2693002.9021925475,-575284.1905367451,1195331.4181698011,1240200.9587764423,1823228.769177832,1927817.0005899624,1150290.561509867,5023824.498106559,5398010.37566682,7240840.330218975,6156405.77847384,5023824.498106559,5398010.37566682,7240840.330218975,6156405.77847384,-499427.4303937039,1122508.5152328876,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2482,2022-01-14 22:45:00,-4743807.8535727365,-5658690.131248713,-7397405.572730186,-6619976.259662063,-953304.0204764992,2564047.308097828,-642811.8053960484,1325965.0272898425,1259959.7187707908,1759462.056213444,1789981.394493627,998411.800943632,5203383.125207226,5520086.514976135,7361172.551802354,6123821.209860696,5203383.125207226,5520086.514976135,7361172.551802354,6123821.209860696,-500323.5940744024,1122109.364639861,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2483,2022-01-14 22:50:00,-4672566.55813622,-5852064.183073899,-7482122.914331904,-6575187.316160514,-1241291.9404955336,2430784.111321303,-708950.6214227898,1455024.6069042454,1275270.9822809717,1692545.7564963102,1651445.321855941,844767.6227341052,5392983.318100724,5638303.573607227,7472511.264361377,6087319.092257,5392983.318100724,5638303.573607227,7472511.264361377,6087319.092257,-501219.4387477081,1121709.4985875052,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2484,2022-01-14 22:55:00,-4584831.701016934,-6032511.362934204,-7557877.103321506,-6520773.239928921,-1524898.258897521,2293842.3682830087,-773705.5617965078,1582307.764751126,1286080.7025072218,1622863.2565099776,1512377.382525002,689510.6112695192,5590414.135037717,5752813.617701198,7575227.978614688,6046641.874334029,5590414.135037717,5752813.617701198,7575227.978614688,6046641.874334029,-502114.9638424283,1121308.917330776,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2485,2022-01-14 23:00:00,-4480912.975027091,-6200457.856946327,-7625015.949710869,-6456549.15970256,-1803121.881690973,2153778.797536948,-837086.126661554,1707596.311329336,1292350.7225212012,1550756.200181282,1372917.8098334249,532805.6713296555,5793529.572392538,5863760.949656018,7669664.719171831,6001522.2641310375,5793529.572392538,5863760.949656018,7669664.719171831,6001522.2641310375,-503010.16878757445,1120907.6211250843,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2486,2022-01-14 23:05:00,-4361177.199963856,-6356322.172750419,-7683854.551180072,-6382318.750607982,-2074980.7151107057,2011085.658490456,-899105.1563411984,1830654.5238600976,1294058.9099550631,1476528.771171345,1233182.1925960758,374832.19744597306,6000276.144602353,5971281.759462725,7756134.559410216,5951683.0475614825,6000276.144602353,5971281.759462725,7756134.559410216,5951683.0475614825,-503905.0530123621,1120505.610226298,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2487,2022-01-14 23:10:00,-4226047.027782438,-6500511.264064415,-7734676.094732296,-6297875.326415187,-2339515.1322830897,1866197.816754285,-959777.739710246,1951227.3479050857,1291199.2351258795,1400451.5615247637,1093264.8112318434,215786.38524695527,6208709.260402336,6075504.0366914505,7834922.196848364,5896837.04946996,6208709.260402336,6075504.0366914505,7834922.196848364,5896837.04946996,-504799.61594621086,1120102.8848907398,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2488,2022-01-14 23:15:00,-4075999.4506888017,-6633417.517263754,-7777732.651874446,-6203003.171453147,-2595791.3605860416,1719499.083786971,-1019120.2434542638,2069038.5343959376,1283781.792319649,1322765.0663033654,953241.6437091832,55883.69876750256,6417001.495237657,6176547.636415103,7906284.54727142,5836687.276857264,6417001.495237657,6176547.636415103,7906284.54727142,5836687.276857264,-505693.8570187457,1119699.4453751885,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2489,2022-01-14 23:20:00,-3911564.117418253,-6755416.428875723,-7813245.951528153,-6097479.149341974,-2842904.7777468227,1571327.911506934,-1077149.4414757772,2183788.711460364,1271832.7641597611,1243682.8419939512,813173.0898955916,-104638.49210064976,6623445.358153879,6274524.427914913,7970451.340971669,5770927.293429992,6623445.358153879,6274524.427914913,7970451.340971669,5770927.293429992,-506587.7756597964,1119295.2919368774,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2490,2022-01-14 23:25:00,-3733321.463643213,-6866864.837022683,-7841408.118927882,-5981074.631729841,-3079983.105042836,1421982.5151864933,-1133881.7266028535,2295153.3925228347,1255394.3291856872,1163394.363964873,673106.4569910878,-265518.08987113344,6826452.566189526,6369538.479165191,8027625.708585838,5699241.886969016,6826452.566189526,6369538.479165191,8027625.708585838,5699241.886969016,-507481.3712993987,1118890.424833496,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2491,2022-01-14 23:30:00,-3541900.663109626,-6968099.596830995,-7862382.3720104,-5853557.797090117,-3306189.486333832,1271725.490731176,-1189332.3891344827,2402780.9248331063,1234524.5129681365,1082067.6154567443,533078.2438382736,-426465.24963886174,7024551.294146019,6461686.246466662,8077984.747381858,5621308.107045918,7024551.294146019,6461686.246466662,8077984.747381858,5621308.107045918,-508374.64336779417,1118484.8443231888,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2492,2022-01-14 23:35:00,-3337977.406734183,-7059436.611248547,-7876303.669435016,-5714696.357442321,-3520725.4420569325,1120787.9856586042,-1243514.9487134886,2506290.385996629,1209296.9832862213,999851.4377659444,393116.2578654074,-587159.1481691913,7216382.4155207155,6551056.749651226,8121680.06165398,5536796.771586502,7216382.4155207155,6551056.749651226,8121680.06165398,5536796.771586502,-509267.5912954304,1118078.5506645544,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2493,2022-01-14 23:40:00,-3122271.517501901,-7141170.145807126,-7883279.30654822,-5564260.779728288,-3722833.687757252,969373.4768623192,-1296440.527625137,2605269.44044085,1179800.790089629,916877.6685571184,253241.59510701807,-747244.5303119633,7400695.402291964,6637731.720687504,8158838.273273454,5445374.568422137,7400695.402291964,6637731.720687504,8158838.273273454,5445374.568422137,-510160.21451296215,1117671.5441166463,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2494,2022-01-14 23:45:00,-2895544.409583158,-7213572.369572853,-7883389.457441039,-5402028.078617759,-3911800.807205064,817661.2026241014,-1348117.2549414765,2699272.173298951,1146140.0511637006,833263.0926972181,113470.51104519652,-906328.0234003832,7576344.29728971,6721785.718423412,8189561.50053577,5346706.9147361405,7576344.29728971,6721785.718423412,8189561.50053577,5346706.9147361405,-511052.5124512508,1117263.824938973,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2495,2022-01-14 23:50:00,-2658596.400639153,-7276893.075574418,-7876687.662838072,-5227786.26884202,-4086959.770663746,665809.2913272857,-1398549.692012104,2787816.9262367217,1108433.5846069823,749111.2276773363,-26183.79215032628,-1063974.2136691734,7742283.995521604,6803286.205392667,8213927.805341458,5240461.786710924,7742283.995521604,6803286.205392667,8213927.805341458,5240461.786710924,-511944.4845413653,1116855.3933914972,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2496,2022-01-14 23:55:00,-2412263.8868030403,-7331359.542952214,-7863201.264985564,-5041339.577850065,-4247692.289419343,513957.624893713,-1447738.2706840415,2870384.168672177,1066814.4894185464,664513.9635912818,-165709.43811018922,-1219701.4836021152,7897566.951765583,6882293.584629211,8231991.610536548,5126314.798788612,7897566.951765583,6882293.584629211,8231991.610536548,5126314.798788612,-512836.1302145821,1116446.2497346357,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2497,2022-01-15 00:00:00,-2157416.390308666,-7377176.510372207,-7842931.792040233,-4842514.533682291,-4393430.998260565,362230.4710739865,-1495678.7363448683,2946414.449126213,1021429.6756755708,579553.075768148,-305094.185896787,-1372977.6160001422,8041340.355040721,6958861.195651181,8243784.090997409,5003955.90419054,8041340.355040721,6958861.195651181,8243784.090997409,5003955.90419054,-513727.4489023864,1116036.3942292589,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2498,2022-01-15 00:05:00,-1894953.4901884173,-7414526.236239075,-7815855.295761565,-4631167.058441988,-4523661.458205339,210738.91532543945,-1542361.588454812,3015306.485683314,972439.345959574,494301.6265047853,-444323.7551200984,-1523215.1800795908,8172843.763558726,7033035.269447799,8249313.543850745,4873098.216689495,8172843.763558726,7033035.269447799,8249313.543850745,4873098.216689495,-514618.44003647135,1115625.827136692,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2499,2022-01-15 00:10:00,-1625801.646874417,-7443568.626200279,-7781922.64763604,-4407190.714447583,-4637923.972404544,59583.12005466898,-1587771.5116801336,3076415.472474124,920016.4298618152,408825.2708924748,-583380.1454549716,-1669766.7279146253,8291407.166936518,7104854.842612422,8248565.745146039,4733489.634509372,8291407.166936518,7104854.842612422,8248565.745146039,4733489.634509372,-515509.1030487391,1115214.5487187137,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2500,2022-01-15 00:15:00,-1350910.9319118191,-7464441.41256783,-7741059.799963166,-4170526.267725552,-4735815.208813038,-91145.56355064898,-1631886.791089368,3129051.701608201,864345.9735639783,323183.48047231126,-722239.9297532253,-1811919.8471019585,8396449.428970128,7174351.630828306,8241504.302426395,4584928.205435556,8396449.428970128,7174351.630828306,8241504.302426395,4584928.205435556,-516399.4373713009,1114802.5592375556,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2501,2022-01-15 00:20:00,-1071251.6743279048,-7477260.37377529,-7693168.019969295,-3921172.75130772,-4816989.623900123,-241362.6080791162,-1674678.7051313813,3172479.62817009,805624.4866488451,237430.6973622958,-860872.4999074748,-1948892.139039536,8487477.059347343,7241549.861821759,8228071.015058877,4427282.545453089,8487477.059347343,7241549.861821759,8228071.015058877,4427282.545453089,-517289.44243647787,1114389.8589559032,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2502,2022-01-15 00:25:00,-787811.03549485,-7482119.584970468,-7638124.106740421,-3659200.227726264,-4881160.682373975,-390988.4257037892,-1716110.8903015563,3205917.5410353965,744059.2484466266,151617.43056610922,-999238.2443074504,-2079826.223448033,8564083.263047656,7306466.067702741,8208186.2569875615,4260519.169011372,8564083.263047656,7306466.067702741,8208186.2569875615,4260519.169011372,-518179.1176768007,1113976.448136895,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2503,2022-01-15 00:30:00,-501589.52457647887,-7479091.693435416,-7575780.602745254,-3384764.464405276,-4928101.868614537,-539946.5677054898,-1756138.671528319,3228538.045863725,679867.5763654684,65791.3053821477,-1137286.635125517,-2203784.910955488,8625947.219664624,7369108.836357236,8181749.399877069,4084739.394893608,8625947.219664624,7369108.836357236,8181749.399877069,4084739.394893608,-519068.4625250107,1113562.3270441226,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2504,2022-01-15 00:35:00,-213597.4668590203,-7468228.214819209,-7505966.014024614,-3098123.7445957083,-4957647.486244646,-688161.9895260937,-1794708.3523906614,3239469.620370576,613276.0587888251,-20001.92382993868,-1274954.202780787,-2319746.739503164,8672833.550060222,7429478.521264368,8148639.298559575,3900229.688991205,8672833.550060222,7429478.521264368,8148639.298559575,3900229.688991205,-519957.4764140597,1113147.4959416306,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2505,2022-01-15 00:40:00,75148.5625677947,-7449559.848245529,-7428485.055836907,-2799658.0359866093,-4969693.243017039,-835559.3642957242,-1831756.459320295,3237799.567663572,544519.7552474779,-105717.3878128615,-1412162.3737527735,-2426602.1404163893,8704591.933703816,7487566.908803215,8108714.865454616,3707531.084072552,8704591.933703816,7487566.908803215,8108714.865454616,3707531.084072552,-520846.1587771104,1112731.955093916,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2506,2022-01-15 00:45:00,363629.32719063945,-7423096.810285683,-7343118.943768481,-2489890.723070328,-4964196.618952629,-982061.4287019798,-1867208.933963773,3222578.7727813344,473841.36668948765,-191310.1342276412,-1548815.1464385255,-2523150.590273448,8721156.846172936,7543356.841798835,8061815.766407084,3507535.9288809057,8721156.846172936,7543356.841798835,8061815.766407084,3507535.9288809057,-521734.50904753705,1112315.7047659291,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2507,2022-01-15 00:50:00,650826.5268469804,-7388829.189628216,-7249625.754158525,-2169513.068938861,-4941177.016430585,-1127587.3458223434,-1900980.267896311,3192828.76193158,401490.3787769239,-276734.1681845421,-1684796.5779590122,-2608099.219824108,8722547.39222292,7596821.797746876,8007763.277446308,3301623.926475108,8722547.39222292,7596821.797746876,8007763.277446308,3301623.926475108,-522622.5266589257,1111898.7452230712,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2508,2022-01-15 00:55:00,935726.39219427,-7346727.326085916,-7147740.882293724,-1839411.4949289465,-4900715.691700418,-1272051.0701237032,-1932972.5739081488,3147551.6736424835,327722.18123342097,-361941.49279578816,-1819968.0527020963,-2680063.4960884536,8708867.215311958,7647925.419849989,7946361.35063813,3091854.256285516,8708867.215311958,7647925.419849989,7946361.35063813,3091854.256285516,-523510.21104507445,1111481.0767311973,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2509,2022-01-15 01:00:00,1217323.2631859246,-7296742.219410081,-7037177.632366233,-1500697.634982825,-4842955.468057826,-1415359.7002817935,-1963074.588151791,3085743.8744976902,252797.1663511532,-446881.1412229797,-1954165.300929657,-2737570.773026708,8680304.46930081,7696620.998709293,7877397.947897762,2881235.543135076,8680304.46930081,7696620.998709293,7877397.947897762,2881235.543135076,-524397.5616399938,1111062.699556613,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2510,2022-01-15 01:05:00,1494623.1389225274,-7238805.9752832195,-6917627.979874983,-1154740.912096511,-4768100.231696748,-1557411.805787257,-1991160.5975725008,3006414.0841201837,176979.80983938382,-531498.1917770061,-2087195.1329490975,-2779067.722886692,8637131.84204511,7742850.9022373585,7800646.714887639,2674096.270941719,8637131.84204511,7742850.9022373585,7800646.714887639,2674096.270941719,-525284.5778779072,1110643.613966077,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2511,2022-01-15 01:10:00,1766647.1863477314,-7172832.297883194,-6788763.555244563,-803203.0656806392,-4676414.212017203,-1698095.7135139117,-2017089.287286025,2908607.003319688,100537.7372590744,-615732.7576466415,-2218831.851141428,-2802932.913821469,8579706.623544835,7786545.951105846,7715869.083621089,2476561.8986216644,8579706.623544835,7786545.951105846,7715869.083621089,2476561.8986216644,-526171.2591932509,1110223.8202267997,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
