Sim instant [s],Timestamp,X Position of 1st satellite,X Position of 2nd satellite,X Position of 3rd satellite,X Position of 4th satellite,Y Position of 1st satellite,Y Position of 2nd satellite,Y Position of 3rd satellite,Y Position of 4th satellite,Z Position of 1st satellite,Z Position of 2nd satellite,Z Position of 3rd satellite,Z Position of 4th satellite,Distance between the 1st satellite and the receiver,Distance between the 2nd satellite and the receiver,Distance between the 3rd satellite and the receiver,Distance between the 4th satellite and the receiver,Pseudorange 1st satellite,Pseudorange 2nd satellite,Pseudorange 3rd satellite,Pseudorange 4th satellite,X position of receiver,Y position of receiver,Z position of receiver,View 1st satellite,View 2nd satellite,View 3rd satellite,View 4th satellite,Eccentricity1,Eccentricity2,Eccentricity3,Eccentricity4,Satellite Antenna Cone Angle,Masking Angle,Axis
11,2022-01-06 08:50:00,2443808.1341907727,-1125406.1958399976,-2687217.9261855697,-239568.08561093945,4228242.408251001,3447196.542820091,908074.0967190996,-3218988.903596662,-1072272.3256387757,2039296.1434466236,3739066.49091313,3512772.0932966936,5308071.022219915,4711818.885647999,4027626.42595958,5695066.254405729,5308071.022219915,4711818.885647999,4027626.42595958,5695066.254405729,1228417.9150211753,21036.897466801453,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
12,2022-01-06 08:55:00,2189985.2138705445,-1529182.9410867873,-3086404.0431283647,-555812.742450065,4375900.945413386,3504681.908838565,844650.0468321047,-3236929.153988444,-1027353.7263078444,2092676.8402354536,3757907.1681315126,3646967.3508314514,5457697.220737586,4991370.043300662,4409272.058862585,5809052.064161022,5457697.220737586,4991370.043300662,4409272.058862585,5809052.064161022,1228400.7254404284,22017.78230042382,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
13,2022-01-06 09:00:00,1928431.926147322,-1922606.8515523155,-3465019.2891166485,-869291.5819401001,4508113.11252135,3535613.7595501435,776066.0801088457,-3239666.3081177548,-978808.6998636642,2130264.247329897,3752972.218815573,3763977.136062391,5600137.473385649,5252572.88740258,4774926.014385241,5916976.126281914,5600137.473385649,5252572.88740258,4774926.014385241,5916976.126281914,1228382.752628754,22998.653095461133,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
14,2022-01-06 09:05:00,1660071.5206379308,-2303721.844525049,-3823009.815486465,-1178626.269729097,4624412.21755322,3542845.332327808,703559.3271197507,-3228403.747793229,-926808.60403396,2153600.984663553,3727583.30210405,3864580.388485084,5734274.711839614,5496706.981064367,5123853.21415887,6019673.069244847,5734274.711839614,5496706.981064367,5123853.21415887,6019673.069244847,1228363.996597611,23979.50922650809,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
15,2022-01-06 09:10:00,1385851.2752134108,-2671142.383743115,-4160626.5585841,-1482670.199493303,4724387.739558973,3529011.4358320367,628144.657277624,-3204287.542742323,-871536.9924990075,2164132.751730399,3684606.108119573,3949579.399456934,5859178.429102794,5725056.634013983,5455766.140032748,6117852.314694281,5859178.429102794,5725056.634013983,5455766.140032748,6117852.314694281,1228344.4573589584,24960.350068168696,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
16,2022-01-06 09:15:00,1106739.1522294206,-3023930.7973928503,-4478326.573460216,-1780477.970761394,4807686.777746624,3496516.070539543,550655.4616331661,-3168399.8811540403,-813188.9669706424,2163195.0342076635,3626513.632343427,4019781.711963289,5974089.902667231,5938856.316087033,5770683.973261459,6212108.784076914,5974089.902667231,5938856.316087033,5770683.973261459,6212108.784076914,1228324.1349252549,25941.174995056765,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
17,2022-01-06 09:20:00,823720.3817430504,-3361498.4614233337,-4776703.205037158,-2071277.796055102,4874015.297176838,3447534.773132431,471776.48770150193,-3121755.823599231,-751970.4885081977,2152009.479943441,3555441.703074348,4075986.623232095,6078409.968595883,6139262.972173697,6068836.318021875,6302934.572635733,6078409.968595883,6139262.972173697,6068836.318021875,6302934.572635733,1228303.0293094576,26921.983381796217,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
18,2022-01-06 09:25:00,537793.9837768804,-3683527.0814030273,-5056436.277781464,-2354446.8942892337,4923139.166668616,3384025.2432811065,392070.2759525373,-3065302.444812298,-688097.6505023373,2131686.049936637,3473236.7473896747,4118975.315367104,6171689.075228381,6327344.189749247,6350596.010152376,6390730.7882829225,6171689.075228381,6327344.189749247,6350596.010152376,6390730.7882829225,1228281.1405250237,27902.774603021524,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
19,2022-01-06 09:30:00,249969.2419062005,-3989906.352610268,-5318256.336769035,-2629489.757254818,4954884.985252389,3307742.205560143,311998.5079841439,-2999919.6549776667,-621795.9158930518,2103228.429310261,3381496.4932995355,4149503.818989456,6253619.306144075,6504075.544638209,6616431.4298023805,6475819.025286734,6253619.306144075,6504075.544638209,6616431.4298023805,6475819.025286734,1228258.468585909,28883.548033378112,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
20,2022-01-06 09:35:00,-38737.859382772585,-4280684.724008038,-5562918.863160374,-2896019.084144291,4969140.694253234,3220254.032096611,231939.3235030201,-2926422.1711850534,-553299.3213143514,2067541.1103552612,3281604.523290223,4168298.171951223,6324028.062490298,6670343.0885584485,6866872.20445412,6558452.139886818,6324028.062490298,6670343.0885584485,6866872.20445412,6558452.139886818,1228235.0135065706,29864.30304752274,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
21,2022-01-06 09:40:00,-327308.22098805406,-4556030.542932292,-5791185.646312051,-3153739.137117093,4965855.972843659,3122959.658987186,152201.4410535444,-2845562.247945513,-482849.650974912,2025437.1668876195,3174759.594041432,4176051.2670112047,6382873.113171424,6826948.544057094,7102484.292256769,6638824.135694762,6382873.113171424,6826948.544057094,7102484.292256769,6638824.135694762,1228210.7753019622,30845.03902012392,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
22,2022-01-06 09:45:00,-614723.226481234,-4816201.384009378,-6003811.341267027,-3402431.2596135056,4945042.415669667,3017104.9629796115,73035.73601012304,-2758032.880857571,-410695.5831907762,1977646.130000146,3062000.5500825616,4173420.990202511,6430238.744896327,6974615.750181494,7323851.7508830065,6717079.065663513,6430238.744896327,6974615.750181494,7323851.7508830065,6717079.065663513,1228185.7539875384,31825.7553258623,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
23,2022-01-06 09:50:00,-899968.3376930472,-5061519.820343697,-6201533.815756816,-3641941.305797711,4906773.491923149,2903798.156900514,-5355.213830732042,-2664471.276730359,-337091.8125827383,1924821.623614148,2944227.5462633376,4161029.338351914,6466332.7652908005,7113997.500632199,7531563.341898379,6793318.925604057,6466332.7652908005,7113997.500632199,7531563.341898379,6793318.925604057,1228159.949579253,32806.45133943106,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
24,2022-01-06 09:55:00,-1182036.675903214,-5292354.267806839,-6385067.286635933,-3872168.7459571953,4851184.286005045,2784024.0007677777,-82809.2159142869,-2565462.4426467004,-262298.1510369436,1867548.5741435683,2822220.181885885,4139462.273170685,6491484.126956967,7245682.282571369,7726202.67631933,6867610.559969324,6491484.126956967,7245682.282571369,7726202.67631933,6867610.559969324,1228133.362093559,33787.126435536346,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
25,2022-01-06 10:00:00,-1459932.5759934,-5509103.83065072,-6555097.521243261,-4093057.233759245,4778471.020694698,2658656.7674270472,-159197.87048060505,-2461542.7903693137,-186578.61060219604,1806349.9051637836,2696653.048729023,4109270.123745684,6506140.946069437,7370200.648055795,7908340.980438691,6939991.63005651,6506140.946069437,7370200.648055795,7908340.980438691,6939991.63005651,1228105.9915474085,34767.77998889759,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
26,2022-01-06 10:05:00,-1732675.101017604,-5712186.310291752,-6712278.573375355,-4304586.443831951,4688890.36450857,2528471.9832847835,-234421.0507238868,-2353203.6849084203,-110200.47156122948,1741692.6867420094,2568109.109036716,4070968.3919685856,6510868.684433271,7488031.085796943,8078531.816771115,7010475.712447119,6510868.684433271,7488031.085796943,8078531.816771115,7010475.712447119,1228077.837958253,35748.41137424802,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
